rs10004195	Helicobacter pylori serologic status
rs2755237	Central corneal thickness
rs2758886	Cholesterol, total
rs2769264	Blood trace element (Cu levels)
rs2771051	Venous thromboembolism (gene x gene interaction)
rs2778031	Height
rs2779116	Glycated hemoglobin levels
rs2780226	Height
rs2782980	Blood pressure
rs278541	IgG glycosylation
rs2785980	Fasting insulin-related traits (interaction with BMI)
rs2786098	Asthma
rs2788612	Response to radiotherapy in cancer (late toxicity)
rs2790216	Inflammatory bowel disease
rs2794520	C-reactive protein
rs2794520	Metabolic traits
rs2794520	Select biomarker traits
rs2797685	Crohns disease
rs2798269	PR segment
rs2798334	P wave duration
rs2798641	Pulmonary function
rs2799573	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)
rs280519	Psoriasis
rs2808634	C-reactive protein
rs2812378	Rheumatoid arthritis
rs281377	Liver enzyme levels (alkaline phosphatase)
rs281379	Crohns disease
rs281379	Pubertal anthropometrics
rs281408	Urinary metabolites (H-NMR features)
rs281437	Soluble ICAM-1
rs2814707	Amyotrophic lateral sclerosis
rs2814778	Neutrophil count
rs2814778	White blood cell count
rs2814944	HDL cholesterol
rs2814982	Cholesterol, total
rs2814993	Height
rs2815752	Body mass index
rs2816316	Celiac disease
rs2816958	Ulcerative colitis
rs2817461	Sensory disturbances after bilateral sagittal split ramus osteotomy
rs281868	Resting heart rate
rs2820443	Sexual dimorphism in anthropometric traits
rs2820464	Waist-hip ratio
rs2823093	Breast cancer
rs2823286	Inflammatory bowel disease
rs2823615	Obesity-related traits
rs2834188	Narcolepsy
rs2834442	Height
rs2835872	Electroencephalographic traits in alcoholism
rs28366298	Lung cancer
rs2836878	Inflammatory bowel disease
rs2836878	Ulcerative colitis
rs28374715	Ulcerative colitis
rs2838519	Crohns disease
rs2838519	Ulcerative colitis
rs2839186	Testicular germ cell tumor
rs28411352	Rheumatoid arthritis
rs2841277	Rheumatoid arthritis
rs28421666	Nasopharyngeal carcinoma
rs2844479	Height
rs2844479	Weight
rs284489	Glaucoma (primary open-angle)
rs2847281	C-reactive protein
rs2847281	Esophageal cancer (squamous cell)
rs2847297	Rheumatoid arthritis
rs2847351	Venous thromboembolism (gene x gene interaction)
rs28489187	Serum dimethylarginine levels (asymmetric)
rs28489187	Serum dimethylarginine levels (asymmetric/symetric ratio)
rs28493229	Kawasaki disease
rs2851391	Homocysteine levels
rs2853676	Glioma
rs2853677	Lung adenocarcinoma
rs2854160	Height
rs2854275	Epstein-Barr virus immune response (EBNA-1)
rs2854536	Narcolepsy
rs2856321	Height
rs2856656	Thrombin generation potential phenotypes
rs2856718	Chronic hepatitis B infection
rs2856718	Hepatitis B
rs2857009	Complement C3 and C4 levels
rs2857151	Kawasaki disease
rs2857595	Pulmonary function
rs2857595	Pulmonary function (interaction)
rs2858331	IgE levels 
rs2858942	Mean corpuscular hemoglobin
rs2860580	Nasopharyngeal carcinoma
rs2865531	Pulmonary function
rs2865531	Pulmonary function (interaction)
rs2867125	Body mass index
rs2867461	Rheumatoid arthritis
rs286913	Response to antipsychotic treatment
rs2869967	Pulmonary function (interaction)
rs2871865	Height
rs2872507	Crohns disease
rs2872507	Ulcerative colitis
rs28777	Black vs. blond hair color
rs28777	Black vs. red hair color
rs2877716	Two-hour glucose challenge
rs2880058	QT interval
rs28834970	Alzheimers disease (late onset)
rs2887571	Bone mineral density
rs2890652	Body mass index
rs28927680	Triglycerides
rs2893923	Platelet aggregation
rs2894788	Weight loss (gastric bypass surgery)
rs2895811	Coronary heart disease
rs2896019	Hematological and biochemical traits
rs2896019	Non-alcoholic fatty liver disease
rs2896526	Amyloid A serum levels
rs2897442	Atopic dermatitis
rs2899472	Cerebrospinal AB1-42 levels
rs2900333	Testicular germ cell cancer
rs2900333	Testicular germ cell tumor
rs290227	Vascular dementia
rs2902940	Cholesterol, total
rs2902940	LDL cholesterol
rs2903492	Body mass index
rs2903692	Type 1 diabetes
rs2905424	Schizophrenia
rs2908004	Bone mineral density
rs2908007	Bone properties (heel)
rs2910032	Schizophrenia
rs2912522	Dupuytrens disease
rs2912774	Breast cancer (early onset)
rs2914276	Recombination (females)
rs2914276	Recombination (males)
rs291671	Hair color
rs2916733	Epirubicin-induced leukopenia 
rs2922763	Body mass index
rs2923084	HDL cholesterol
rs29232	Nasopharyngeal carcinoma
rs2925979	Adiponectin levels
rs2925979	HDL cholesterol
rs2929282	Triglycerides
rs2930047	Inflammatory bowel disease
rs2932538	Diastolic blood pressure
rs2932538	Systolic blood pressure
rs2941484	Urate levels
rs2941551	Height
rs2941740	Bone mineral density (hip)
rs2943559	Breast cancer
rs2943634	Fasting insulin-related traits (interaction with BMI)
rs2943640	Type 2 diabetes
rs2943641	Type 2 diabetes and other traits
rs2943650	Adiposity
rs2945412	Crohns disease
rs2947411	Menarche (age at onset)
rs2949006	Schizophrenia
rs295	Metabolic syndrome
rs2950390	Mean platelet volume
rs2954021	Liver enzyme levels (alanine transaminase)
rs2954021	Liver enzyme levels (alkaline phosphatase)
rs2954026	HDL Cholesterol - Triglycerides (HDLC-TG)
rs2954029	Cholesterol, total
rs2954029	HDL cholesterol
rs2954029	LDL cholesterol
rs2954029	Triglycerides
rs2954033	Triglycerides-Blood Pressure (TG-BP)
rs2957128	Pagets disease
rs2957692	Circulating vasoactive peptide levels 
rs296547	Celiac disease
rs2967605	HDL cholesterol
rs2968863	QT interval
rs2968864	QT interval
rs2969180	Refractive error
rs2970818	Phosphorus levels
rs2972146	HDL cholesterol
rs2972146	Triglycerides
rs29784	Infantile hypertrophic pyloric stenosis
rs2980879	Adiponectin levels
rs2981575	Breast cancer in BRCA2 mutation carriers
rs2981578	Breast cancer
rs2981579	Breast cancer
rs2981582	Breast cancer
rs2982552	Bone properties (heel)
rs2982694	Sudden cardiac arrest
rs2982712	Height
rs2984613	Intracerebral hemorrhage
rs29941	Body mass index
rs29941	Weight
rs3000073	Mean platelet volume
rs300032	IgG glycosylation
rs3001032	Adiponectin levels
rs3002288	Eye color
rs300774	Suicide attempts in bipolar disorder
rs301	Metabolic syndrome (bivariate traits)
rs3011225	Amyotrophic lateral sclerosis (age of onset)
rs3018362	Pagets disease
rs30187	Ankylosing spondylitis
rs3019885	Asthma
rs3020331	Bone properties (heel)
rs3024321	End-stage coagulation
rs3024493	Ulcerative colitis
rs3024505	Crohns disease
rs3024505	Inflammatory bowel disease
rs3024505	Type 1 diabetes
rs3024505	Type 1 diabetes autoantibodies
rs3024505	Ulcerative colitis
rs3025343	Smoking behavior
rs3026968	Inflammatory biomarkers
rs3027234	Telomere length
rs305009	Venous thromboembolism (gene x gene interaction)
rs305061	Chronic lymphocytic leukemia
rs3077	Chronic hepatitis B infection
rs3077	Hepatitis B
rs3077	Hepatitis B (viral clearance)
rs3087243	Rheumatoid arthritis
rs3087243	Type 1 diabetes
rs3087243	Type 1 diabetes autoantibodies
rs3091242	Erythrocyte sedimentation rate
rs3091244	C-reactive protein
rs3091315	Crohns disease
rs3091316	Crohns disease
rs3091316	Inflammatory bowel disease
rs3091338	Crohns disease
rs3093023	Rheumatoid arthritis
rs3093024	Rheumatoid arthritis
rs3093030	Soluble levels of adhesion molecules
rs3093059	C-reactive protein
rs3096277	Blood pressure
rs3099844	Metabolic syndrome
rs3099844	Neonatal lupus
rs3101336	Obesity
rs3101336	Obesity (early onset extreme)
rs3103267	Height
rs310405	Height
rs3104767	Restless legs syndrome
rs3110496	Height
rs3112612	Breast cancer
rs3114018	Dental caries
rs3114018	Serum uric acid levels
rs3115573	Nephropathy
rs3116602	Height
rs3117098	Asthma
rs3117582	Lung adenocarcinoma
rs3117582	Lung cancer
rs3118470	Alopecia areata
rs3118470	Multiple sclerosis
rs3118515	Central corneal thickness
rs3118905	Height
rs3118906	Height
rs3118914	Height
rs3120139	Lp (a) levels
rs3123078	Prostate cancer
rs312457	Type 2 diabetes
rs3125734	Rheumatoid arthritis
rs3126085	Atopic dermatitis
rs312691	Thyrotoxic hypokalemic periodic paralysis
rs3127573	Creatinine levels
rs3127599	Coronary heart disease
rs3129055	Nasopharyngeal carcinoma
rs3129763	Systemic sclerosis
rs312985	Lipid metabolism phenotypes
rs3129860	Hepatitis C induced liver cirrhosis
rs3129871	Multiple sclerosis (OCB status)
rs3129882	Parkinsons disease
rs3129882	Systemic sclerosis
rs3129890	Asthma
rs3129934	Multiple sclerosis
rs3129943	Asthma
rs3130501	Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)
rs3130542	Hepatitis B
rs3130544	Myasthenia gravis 
rs3130559	Chronic obstructive pulmonary disease-related biomarkers
rs3130573	Systemic sclerosis
rs3131296	Schizophrenia
rs3131379	Systemic lupus erythematosus
rs3132306	Central corneal thickness
rs3132468	Dengue shock syndrome 
rs3134931	Circulating myeloperoxidase levels (serum) 
rs3135338	Multiple sclerosis
rs3135363	Hepatitis B vaccine response
rs3135363	Hepatitis C induced liver cirrhosis
rs3135363	Primary biliary cirrhosis
rs3136441	HDL cholesterol
rs3136739	Plasma plasminogen activator levels
rs3138144	Refractive error
rs314253	Cholesterol, total
rs314253	LDL cholesterol
rs314253	Liver enzyme levels (alkaline phosphatase)
rs314276	Menarche (age at onset)
rs314276	Puberty onset
rs314277	Height
rs314277	Menarche and menopause (age at onset)
rs314280	Menarche (age at onset)
rs314370	Resting heart rate
rs31489	Lung adenocarcinoma
rs315122	Venous thromboembolism (gene x gene interaction)
rs3180018	Crohns disease
rs3184504	Autoimmune hepatitis type-1
rs3184504	Beta-2 microglubulin plasma levels
rs3184504	Diastolic blood pressure
rs3184504	Eosinophil counts
rs3184504	Hypothyroidism
rs3184504	Platelet counts
rs3184504	Red blood cell traits
rs3184504	Systolic blood pressure
rs3184504	Type 1 diabetes
rs3184504	Type 1 diabetes autoantibodies
rs318497	Venous thromboembolism (gene x gene interaction)
rs3194051	Ulcerative colitis
rs319690	Blood pressure
rs3197999	Crohns disease
rs3197999	Inflammatory bowel disease
rs3197999	Primary sclerosing cholangitis
rs3197999	Ulcerative colitis
rs3198697	Triglycerides
rs3204689	Osteoarthritis (hand, severe)
rs3211770	End-stage coagulation
rs3213094	Psoriasis
rs3213545	Cardiovascular disease risk factors
rs3213758	Vitiligo (non-segmental)
rs3213764	Prostate-specific antigen levels
rs3213787	Glaucoma
rs3217810	Colorectal cancer
rs3218097	Mean corpuscular hemoglobin
rs3218097	Mean corpuscular volume
rs3218097	Red blood cell count
rs3219090	Melanoma
rs322458	Aging (facial)
rs325	HDL cholesterol
rs32566	Morbidity-free survival
rs326	HDL cholesterol
rs326	Triglycerides
rs328	HDL cholesterol
rs328	Lipid traits
rs328	Triglycerides
rs331	Lipid metabolism phenotypes
rs334353	Age-related macular degeneration
rs334699	Thyroid hormone levels
rs339331	Prostate cancer
rs33980500	Psoriasis
rs33980500	Psoriatic arthritis
rs339969	Liver enzyme levels (gamma-glutamyl transferase)
rs340005	Gamma gluatamyl transferase levels
rs340029	C-reactive protein
rs340630	Systemic lupus erythematosus
rs340874	Fasting glucose-related traits
rs340874	Fasting glucose-related traits (interaction with BMI)
rs342275	Platelet counts
rs342293	Mean platelet volume
rs342296	Mean platelet volume
rs34245511	Colorectal cancer
rs34289250	Ovarian cancer
rs343064	Non-alcoholic fatty liver disease histology (other)
rs34312136	Intelligence
rs34330	Systemic lupus erythematosus
rs34372695	Parkinsons disease
rs34400381	Serum dimethylarginine levels (symmetric)
rs344081	Bone mineral density
rs3450	Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)
rs34517613	Amyotrophic lateral sclerosis (sporadic)
rs34536443	Rheumatoid arthritis
rs34695944	Rheumatoid arthritis
rs347685	Chronic kidney disease
rs34778348	Parkinsons disease
rs348495	Body mass index
rs34920465	Bone mineral density
rs34971035	Monocyte chemoattractant protein-1 
rs34972666	Alzheimers disease (cognitive decline)
rs35079168	Intelligence
rs35264875	Blond vs. brown hair color
rs35349669	Alzheimers disease (late onset)
rs35391	Tanning
rs354033	Multiple sclerosis
rs35444	Blood pressure
rs35610040	Plasma cystastin c levels in acute coronary syndrome
rs356219	Parkinsons disease
rs356220	Parkinsons disease
rs35675666	Inflammatory bowel disease
rs35675666	Ulcerative colitis
rs35705950	Idiopathic pulmonary fibrosis
rs35747	Fasting insulin-related traits (interaction with BMI)
rs35767	Fasting glucose-related traits
rs35767	Fasting insulin-related traits
rs35853021	Lipid metabolism phenotypes
rs359312	Response to treatment for acute lymphoblastic leukemia
rs359457	Crohns disease
rs364585	LDL cholesterol
rs365132	Menarche and menopause (age at onset)
rs365132	Menopause (age at onset)
rs365990	Electrocardiographic traits
rs365990	Heart rate
rs36600	Lung cancer
rs367615	Colorectal cancer
rs368433	Helicobacter pylori serologic status
rs37062	QT interval
rs371915	Eosinophilic esophagitis (pediatric)
rs372091	Malaria
rs372883	Pancreatic cancer
rs3729639	Coronary heart disease
rs3731211	Platelet counts
rs3731217	Acute lymphoblastic leukemia (B-cell precursor)
rs3733402	Obesity-related traits
rs3733402	Serum metabolite levels
rs3733829	Smoking behavior
rs3734266	Systemic lupus erythematosus
rs3734398	Phospholipid levels (plasma)
rs3736228	Bone mineral density
rs3736594	Fasting glucose-related traits (interaction with BMI)
rs3736830	Menopause (age at onset)
rs37369	Serum dimethylarginine levels (asymmetric/symetric ratio)
rs37369	Serum dimethylarginine levels (symmetric)
rs37369	Urinary metabolites
rs37369	Urinary metabolites (H-NMR features)
rs3739070	Iris characteristics
rs3739998	Coronary heart disease
rs3741240	Chronic obstructive pulmonary disease-related biomarkers
rs3741298	Obesity-related traits
rs3741414	Urate levels
rs3742207	Arterial stiffness
rs3744028	White matter hyperintensity burden
rs3744061	Retinal arteriolar caliber
rs3745516	Primary biliary cirrhosis
rs3745567	Complement C3 and C4 levels
rs3748069	Height
rs3748816	Celiac disease
rs3749147	Waist Circumference - Triglycerides (WC-TG)
rs3749171	Inflammatory bowel disease
rs3749946	Ulcerative colitis
rs3750817	Breast cancer
rs3750848	Age-related macular degeneration (extreme sampling)
rs3751599	Height
rs3751972	Fractional exhaled nitric oxide (childhood)
rs3753394	Complement C3 and C4 levels
rs3753841	Glaucoma (primary open-angle)
rs3755132	Wilms tumor
rs3755157	Glycated hemoglobin levels
rs3755955	Bone mineral density
rs3756008	Venous thromboembolism
rs3757247	Vitiligo
rs3757318	Breast cancer
rs3757354	Cholesterol, total
rs3757354	LDL cholesterol
rs3757837	Osteoarthritis (hip)
rs3757840	Metabolic syndrome
rs3758171	Intelligence
rs3760318	Height
rs3760775	Tumor biomarkers
rs3760776	N-glycan levels
rs3760776	Tumor biomarkers
rs3760776	Vitamin B12 levels
rs3760982	Breast cancer
rs3761168	Social communication problems
rs3761847	Rheumatoid arthritis
rs3761959	Graves disease
rs3762318	Leprosy
rs3763309	Rheumatoid arthritis
rs3764021	Type 1 diabetes
rs3764147	Crohns disease
rs3764147	Leprosy
rs3764261	Age-related macular degeneration
rs3764261	Cholesterol, total
rs3764261	HDL cholesterol
rs3764261	Hematological and biochemical traits
rs3764261	LDL cholesterol
rs3764261	Lipid metabolism phenotypes
rs3764261	Lipid traits
rs3764261	Lipoprotein-associated phospholipase A2 activity and mass
rs3764261	Metabolic syndrome
rs3764261	Metabolic syndrome (bivariate traits)
rs3764261	Triglycerides
rs3764261	Waist circumference and related phenotypes
rs3764419	Height
rs3764618	Follicule stimulating hormone
rs3764650	Alzheimers disease
rs3764913	Metabolite levels
rs3765524	Dengue shock syndrome 
rs3765524	Esophageal cancer and gastric cancer
rs3768080	Cutaneous nevi
rs3768716	Neuroblastoma
rs3769528	Height
rs3769825	Chronic lymphocytic leukemia
rs3771166	Asthma
rs3771175	Allergic sensitization
rs3771180	Asthma
rs3771570	Prostate cancer
rs3771863	Brain connectivity
rs3774959	Ulcerative colitis
rs3775948	Renal function-related traits (urea)
rs3775948	Uric acid levels
rs3777200	Serum total protein level
rs3779195	Sex hormone-binding globulin levels
rs3780181	Cholesterol, total
rs3780181	LDL cholesterol
rs3780293	Venous thromboembolism (gene x gene interaction)
rs3780486	IgG glycosylation
rs378108	Ankylosing spondylitis
rs3781264	Esophageal cancer and gastric cancer
rs3781913	Rheumatoid arthritis
rs3782089	Height
rs3782181	Testicular germ cell cancer
rs3782886	Hematological and biochemical traits
rs3782889	Coronary heart disease
rs3783006	Educational attainment
rs3783637	Obesity-related traits
rs3783782	Rheumatoid arthritis
rs3784943	Response to amphetamines
rs3786800	Myopia (pathological)
rs3786897	Type 2 diabetes
rs3788556	IgG glycosylation
rs3790160	Bone mineral density
rs3790455	Migraine
rs3790567	Primary biliary cirrhosis
rs3790672	Testicular germ cell tumor
rs3790844	Pancreatic cancer
rs3791675	Height
rs3791679	Height
rs3792109	Crohns disease
rs3792366	Platelet counts
rs3792752	Height
rs3793917	Age-related macular degeneration
rs3796619	Recombination rate (males)
rs3798220	Coronary heart disease
rs3798440	Hypertension
rs3798713	Phospholipid levels (plasma)
rs3798722	Metabolite levels
rs3801387	Bone mineral density
rs3802177	Type 2 diabetes
rs3802457	Polycystic ovary syndrome
rs3802842	Colorectal cancer
rs3803662	Breast cancer
rs3803662	Breast cancer (male) 
rs3803800	IgA nephropathy
rs3803800	Non-albumin protein levels 
rs380390	Age-related macular degeneration
rs3805236	Asthma
rs3805663	Testicular germ cell tumor
rs3806156	Vitiligo
rs3806308	Ulcerative colitis
rs3806624	Hodgkins lymphoma
rs3806624	Rheumatoid arthritis
rs3806932	Eosinophilic esophagitis (pediatric)
rs3807375	Electrocardiographic traits
rs3807989	Atrial fibrillation
rs3807989	Electrocardiographic traits
rs3807989	PR interval
rs3807989	PR segment
rs380904	Venous thromboembolism (gene x gene interaction)
rs3809566	Platelet counts
rs3810291	Body mass index
rs3810936	Crohns disease
rs3811321	Renal transplant outcome
rs3811444	Platelet counts
rs3811444	Red blood cell traits
rs3811647	Alcohol consumption (transferrin glycosylation)
rs3811647	Hepcidin levels
rs3811647	Iron levels
rs3811647	Iron status biomarkers
rs3812111	Age-related macular degeneration
rs3812163	Height
rs3812316	Triglycerides
rs3813579	Thyroid volume
rs3813582	Thyroid function
rs3813582	Thyroid hormone levels
rs3813948	C4b binding protein levels
rs3814113	Ovarian cancer
rs3814113	Ovarian cancer in BRCA1 mutation carriers 
rs3814231	Vitiligo
rs3814333	Height
rs3815087	HIV-1 control
rs3815148	Osteoarthritis
rs38152	HIV-1 control
rs3815908	Intelligence
rs3816804	Height
rs3817198	Breast cancer
rs3817334	Body mass index
rs3817928	Pulmonary function
rs3817928	Pulmonary function (interaction)
rs3817963	Hepatitis C induced liver cirrhosis
rs3817963	Lung adenocarcinoma
rs3817963	Multiple sclerosis (OCB status)
rs381815	Blood pressure
rs381815	Systolic blood pressure
rs3818361	Alzheimers disease
rs3819299	Platelet counts
rs3820706	Adverse response to chemotherapy in breast cancer (alopecia)
rs3821236	Systemic lupus erythematosus
rs3821236	Systemic sclerosis
rs382140	Coffee consumption
rs3822072	HDL cholesterol
rs3822625	Breast cancer (early onset)
rs3823355	Vitiligo
rs3824660	Rheumatoid arthritis
rs3824662	Acute lymphoblastic leukemia (B-cell precursor)
rs3824999	Colorectal cancer
rs3825214	Electrocardiographic traits
rs3825807	Coronary heart disease
rs3825932	Type 1 diabetes
rs3825942	Glaucoma (exfoliation)
rs3828309	Crohns disease
rs3828840	Multiple sclerosis (OCB status)
rs3829251	Vitamin D levels
rs3845624	Inflammatory biomarkers
rs3846662	Cholesterol, total
rs3846662	LDL cholesterol
rs3846663	LDL cholesterol
rs3847153	Premature ovarian failure
rs3848445	Protein quantitative trait loci
rs3849942	Amyotrophic lateral sclerosis
rs3849942	Amyotrophic lateral sclerosis (sporadic)
rs3850699	Prostate cancer
rs3851050	Chronic obstructive pulmonary disease-related biomarkers
rs3851179	Alzheimers disease
rs3851228	Inflammatory bowel disease
rs3858145	Optic nerve measurement (disc area)
rs385893	Hematological parameters
rs385893	Platelet counts
rs3859192	White blood cell count
rs386000	HDL cholesterol
rs3865188	Adiponectin levels
rs3865444	Alzheimers disease (late onset)
rs3869109	Coronary heart disease
rs38855	Triglycerides
rs3889237	Height
rs3890182	HDL cholesterol
rs38904	Inflammatory bowel disease
rs3891585	PR interval
rs3892630	Red blood cell traits
rs3893464	Graves disease
rs3894194	Asthma
rs3894194	Asthma (childhood, severe)
rs3896439	Dental caries
rs3897478	Crohns disease
rs389884	Hematology traits
rs3903072	Breast cancer
rs3903239	Atrial fibrillation
rs3905000	HDL cholesterol
rs3905075	Venous thromboembolism (gene x gene interaction)
rs3905706	Bone mineral density
rs391023	Chronic lymphocytic leukemia
rs391300	Type 2 diabetes
rs3914132	Otosclerosis
rs391525	Chronic lymphocytic leukemia
rs3916	Urinary metabolites (H-NMR features)
rs3916164	Red blood cell traits
rs3922844	PR interval
rs3923113	Type 2 diabetes
rs3923564	Chronic obstructive pulmonary disease-related biomarkers
rs3923809	Restless legs syndrome
rs3925584	Chronic kidney disease
rs3925584	Magnesium levels
rs3931020	Resistin levels 
rs3931397	Corneal structure
rs393152	Parkinsons disease
rs3943077	Adiponectin levels
rs397969	Platelet counts
rs3995090	Pulmonary function
rs399593	Dental caries
rs399604	Platelet counts
rs401681	Basal cell carcinoma 
rs401681	Bladder cancer
rs401681	Lung cancer
rs401681	Melanoma
rs401681	Serum prostate-specific antigen levels
rs40200	Urinary metabolites (H-NMR features)
rs4026608	Aortic root size
rs404256	IgG glycosylation
rs40457	Leprosy
rs404860	Asthma
rs406001	Post-traumatic stress disorder (asjusted for relatedness)
rs4065321	White blood cell count
rs4072037	Magnesium levels
rs4072910	Height
rs4074793	Liver enzyme levels (gamma-glutamyl transferase)
rs4074961	Axial length
rs4075154	Height
rs4077468	Cystic fibrosis-related diabetes
rs4077515	Crohns disease
rs4077515	Ulcerative colitis
rs4078978	Immune reponse to smallpox (secreted IFN-alpha)
rs4085613	Psoriasis
rs4086116	Warfarin maintenance dose
rs409801	Platelet counts
rs4112788	Psoriasis
rs412000	Primary tooth development (time to first tooth eruption)
rs412658	Telomere length
rs41281112	Vitamin B12 levels
rs4128725	Select biomarker traits
rs4129267	Asthma
rs4129267	C-reactive protein
rs4129267	Fibrinogen
rs4129267	Protein quantitative trait loci
rs4129585	Schizophrenia
rs4129767	HDL cholesterol
rs4132601	Acute lymphoblastic leukemia (childhood)
rs41360247	Phytosterol levels
rs4140885	Heart rate
rs4141463	Autism
rs4141819	Endometriosis
rs4142110	Nephrolithiasis
rs4142248	Myopia (pathological)
rs4142995	HDL cholesterol
rs4143094	Colorectal cancer (diet interaction)
rs4143832	Eosinophil counts
rs4147929	Alzheimers disease (late onset)
rs4148008	HDL cholesterol
rs4148152	Serum uric acid levels
rs4148155	Urate levels
rs4148323	Bilirubin levels
rs4148325	Bilirubin levels
rs4148441	Platelet counts
rs4149056	Bilirubin levels
rs4149056	Response to statin therapy
rs4149056	Sex hormone-binding globulin levels
rs4149080	Methotrexate clearance (acute lymphoblastic leukemia)
rs4149081	Metabolic traits
rs4149268	HDL cholesterol
rs4149310	Metabolite levels
rs4150642	Amyloid A serum levels
rs4151657	Ulcerative colitis
rs415890	Crohns disease
rs416350	Temperament (bipolar disorder)
rs419076	Blood pressure
rs419076	Diastolic blood pressure
rs419076	Systolic blood pressure
rs420259	Bipolar disorder
rs42235	Height
rs422421	Height
rs4227	IgA nephropathy
rs4233949	Bone mineral density
rs4234798	Insulin-like growth factors
rs4234898	Speech perception in dyslexia
rs4236601	Glaucoma (primary open-angle)
rs4238326	Osteoarthritis (hand, severe)
rs423955	Platelet counts
rs4239702	Rheumatoid arthritis
rs4241816	Metabolite levels
rs4242382	Prostate cancer
rs4242384	Prostate cancer
rs4245739	Breast cancer
rs4245739	Prostate cancer
rs4245791	LDL cholesterol
rs4245791	Phytosterol levels
rs4246215	Inflammatory bowel disease
rs4246215	Phospholipid levels (plasma)
rs4246215	Platelet counts
rs4246511	Menopause (age at onset)
rs4246905	Inflammatory bowel disease
rs4246905	Ulcerative colitis
rs4248154	Graves disease
rs42490	Leprosy
rs424971	Monocyte count
rs425105	Type 1 diabetes
rs4251424	Immune reponse to smallpox (secreted TNF-alpha)
rs425277	Height
rs4253238	Circulating vasoactive peptide levels 
rs4253252	Metabolic traits
rs4253399	Venous thromboembolism
rs4253772	Cholesterol, total
rs4253772	LDL cholesterol
rs4253776	LDL cholesterol
rs4256159	Inflammatory bowel disease
rs4263839	Crohns disease
rs42648	Homocysteine levels
rs426736	Meningococcal disease
rs4272	Rheumatoid arthritis
rs4273077	Hematological and biochemical traits
rs4273077	Multiple myeloma
rs4273712	Intracranial volume
rs4280164	Parent of origin effect on language impairment (paternal)
rs4282339	Height
rs4285028	Multiple sclerosis
rs4293393	Chronic kidney disease and serum creatinine levels
rs429358	Alzheimers disease biomarkers
rs429358	Hippocampal atrophy
rs4294134	Pagets disease
rs4295627	Glioma
rs429608	Age-related macular degeneration
rs4297946	Cholesterol, total
rs4299376	Cholesterol, total
rs4299376	LDL cholesterol
rs4299376	Lipid metabolism phenotypes
rs4305276	Mean platelet volume
rs4305317	Rheumatoid arthritis
rs4307059	Autism
rs430727	Bone mineral density
rs4308217	Multiple sclerosis
rs4311394	Adiponectin levels
rs4315565	Height
rs4321386	Hormone measurements
rs4324798	Lung adenocarcinoma
rs4326844	Platelet counts
rs4328821	White blood cell count
rs4328821	White blood cell types
rs4329	Metabolic traits
rs4331426	Tuberculosis
rs4333130	Ankylosing spondylitis
rs4336470	Neuroblastoma
rs4337252	Height
rs4338740	Thyroid volume
rs4343	Angiotensin-converting enzyme activity
rs4343	Serum metabolite levels
rs4345897	Metabolite levels
rs4345897	Urinary metabolites (H-NMR features)
rs434943	Fibrinogen
rs4351	Metabolite levels
rs4353250	Amyloid A serum levels
rs4355801	Bone mineral density
rs4356203	Schizophrenia or bipolar disorder
rs4363657	Bilirubin levels
rs4368253	Chronic lymphocytic leukemia
rs4373814	Diastolic blood pressure
rs4373814	Hypertension
rs4373814	Systolic blood pressure
rs4374383	Hepatitis C induced liver fibrosis
rs4379368	Migraine
rs4379368	Migraine without aura
rs4380028	Coronary heart disease
rs4380187	Schizophrenia
rs4380874	Ulcerative colitis
rs4387287	Telomere length
rs4389526	Ankylosing spondylitis
rs439401	HDL Cholesterol - Triglycerides (HDLC-TG)
rs439401	Triglycerides
rs4395927	Myopia (pathological)
rs4402960	Type 2 diabetes
rs4406737	Chronic lymphocytic leukemia
rs440837	Sex hormone-binding globulin levels
rs4409764	Crohns disease
rs4409764	Inflammatory bowel disease
rs4409785	Rheumatoid arthritis
rs4409785	Vitiligo
rs4410790	Caffeine consumption
rs4410871	Allergic sensitization
rs4410871	Multiple sclerosis
rs441460	Platelet counts
rs4415084	Breast cancer
rs4416442	Chronic obstructive pulmonary disease (moderate to severe)
rs4416442	Chronic obstructive pulmonary disease (severe)
rs441810	Tumor biomarkers
rs4420065	C-reactive protein
rs4420638	Age-related macular degeneration
rs4420638	Alzheimers disease
rs4420638	Alzheimers disease (age of onset)
rs4420638	Alzheimers disease (late onset)
rs4420638	C-reactive protein
rs4420638	Cholesterol, total
rs4420638	Cognitive decline
rs4420638	HDL cholesterol
rs4420638	LDL cholesterol
rs4420638	Lipid traits
rs4420638	Lipoprotein-associated phospholipase A2 activity and mass
rs4420638	Longevity
rs4420638	Longevity (85 years and older)
rs4420638	Longevity (90 years and older)
rs4420638	Triglycerides
rs442177	Triglycerides
rs4424296	Bone mineral density
rs4430796	Endometrial cancer
rs4430796	Prostate cancer
rs4430796	Serum prostate-specific antigen levels
rs4430796	Type 2 diabetes
rs443198	Systemic sclerosis
rs4432842	Birth weight
rs4444235	Colorectal cancer
rs445	White blood cell count
rs445	White blood cell types
rs445114	Prostate cancer
rs4452313	Rheumatoid arthritis
rs4453791	Social communication problems
